รานต์	6-3-9|,6-0-9|,	ร|,ร|,
กรานด์	6-0-8|,6-3-8|,18-0-0|6-3-9|,	กร|,กร|,ก|ร|,
รานด์	6-3-9|,6-0-9|,	ร|,ร|,
กราว	6-5-8|,18-0-0|6-5-9|,6-5-8|18-0-20|,	กร|,ก|ร|,กร|ว|,
ราว	6-5-9|,6-5-9|18-0-20|,	ร|,ร|ว|,
กราวด์	6-0-8|,6-5-8|,18-0-0|6-5-9|,	กร|,กร|,ก|ร|,
ราวด์	6-5-9|,6-0-9|,	ร|,ร|,
กราวน์	6-0-8|,6-5-8|,18-0-0|6-5-9|,	กร|,กร|,ก|ร|,
ราวน์	6-5-9|,6-0-9|,	ร|,ร|,
กราก	6-6-8|,18-0-0|6-6-9|,6-6-8|18-0-0|,	กร|,ก|ร|,กร|ก|,
ราก	6-6-9|,6-6-9|18-0-0|,	ร|,ร|ก|,
กราค	6-6-8|,18-0-0|6-6-9|,6-6-8|18-0-10|,	กร|,ก|ร|,กร|ค|,
ราค	6-6-9|,6-6-9|18-0-10|,	ร|,ร|ค|,
ค	18-0-10|,7-0-10|,	ค|,ค|,
กราด	6-8-8|,18-0-0|6-8-9|,	กร|,ก|ร|,
ราด	6-8-9|,	ร|,
กราม	6-7-8|,18-0-0|6-7-9|,6-7-8|18-0-21|,	กร|,ก|ร|,กร|ม|,
ราม	6-7-9|,6-7-9|18-0-21|,	ร|,ร|ม|,
กราช	6-8-8|,18-0-0|6-8-9|,6-8-8|18-0-2|,	กร|,ก|ร|,กร|ช|,
ราช	6-8-9|,6-8-9|18-0-2|,	ร|,ร|ช|,
ช	18-0-2|,7-0-2|,	ช|,ช|,
กราง	6-4-8|,18-0-0|6-4-9|,	กร|,ก|ร|,
ราง	6-4-9|,	ร|,
กราฟ	6-2-8|,18-0-0|6-2-9|,	กร|,ก|ร|,
ราฟ	6-2-9|,	ร|,
กราบ	6-2-8|,18-0-0|6-2-9|,	กร|,ก|ร|,
ราบ	6-2-9|,	ร|,
กราย	6-1-8|,18-0-0|6-1-9|,6-1-8|18-0-7|,	กร|,ก|ร|,กร|ย|,
ราย	6-1-9|,6-1-9|18-0-7|,	ร|,ร|ย|,
กราห์	6-0-8|,18-0-0|6-0-9|,	กร|,ก|ร|,
ราห์	6-0-9|,	ร|,
กราล	6-3-8|,18-0-0|6-3-9|,6-3-8|18-0-4|,	กร|,ก|ร|,กร|ล|,
ราล	6-3-9|,6-3-9|18-0-4|,	ร|,ร|ล|,
กราส	6-8-8|,18-0-0|6-8-9|,6-8-8|18-0-19|,	กร|,ก|ร|,กร|ส|,
ราส	6-8-9|,6-8-9|18-0-19|,	ร|,ร|ส|,
ส	18-0-19|,7-0-19|,	ส|,ส|,
กราส์	6-0-8|,18-0-0|6-0-9|,	กร|,ก|ร|,
ราส์	6-0-9|,	ร|,
กราณ	6-3-8|,18-0-0|6-3-9|,6-3-8|18-0-15|,	กร|,ก|ร|,กร|ณ|,
ราณ	6-3-9|,6-3-9|18-0-15|,	ร|,ร|ณ|,
กราณย์	6-0-8|,6-3-8|,18-0-0|6-3-9|,	กร|,กร|,ก|ร|,
ราณย์	6-3-9|,6-0-9|,	ร|,ร|,
กรี	11-0-8|,18-0-0|11-0-9|,	กร|,ก|ร|,
รี	11-0-9|,	ร|,
กรีย	11-1-8|,18-0-0|11-1-9|,11-1-8|18-0-7|,	กร|,ก|ร|,กร|ย|,
รีย	11-1-9|,11-1-9|18-0-7|,	ร|,ร|ย|,
กรีย์	11-0-8|,18-0-0|11-0-9|,	กร|,ก|ร|,
รีย์	11-0-9|,	ร|,
กรีม	11-7-8|,18-0-0|11-7-9|,11-7-8|18-0-21|,	กร|,ก|ร|,กร|ม|,
รีม	11-7-9|,11-7-9|18-0-21|,	ร|,ร|ม|,
กรีต	11-8-8|,18-0-0|11-8-9|,11-8-8|18-0-3|,	กร|,ก|ร|,กร|ต|,
รีต	11-8-9|,11-8-9|18-0-3|,	ร|,ร|ต|,
กรีด	11-8-8|,18-0-0|11-8-9|,	กร|,ก|ร|,
รีด	11-8-9|,	ร|,
กรีน	11-3-8|,18-0-0|11-3-9|,11-3-8|18-0-15|,	กร|,ก|ร|,กร|น|,
รีน	11-3-9|,11-3-9|18-0-15|,	ร|,ร|น|,
กรีธ	11-8-8|,18-0-0|11-8-9|,11-8-8|18-0-16|,	กร|,ก|ร|,กร|ธ|,
รีธ	11-8-9|,11-8-9|18-0-16|,	ร|,ร|ธ|,
ธ	18-0-16|,7-0-16|,	ธ|,ธ|,
กรีซ	11-8-8|,18-0-0|11-8-9|,	กร|,ก|ร|,
รีซ	11-8-9|,	ร|,
กรีฑ	11-8-8|,18-0-0|11-8-9|,11-8-8|18-0-16|,	กร|,ก|ร|,กร|ฑ|,
รีฑ	11-8-9|,11-8-9|18-0-16|,	ร|,ร|ฑ|,
ฑ	18-0-16|,7-0-16|,	ฑ|,ฑ|,
กรีส	11-8-8|,18-0-0|11-8-9|,11-8-8|18-0-19|,	กร|,ก|ร|,กร|ส|,
รีส	11-8-9|,11-8-9|18-0-19|,	ร|,ร|ส|,
กรีฟ	11-2-8|,18-0-0|11-2-9|,	กร|,ก|ร|,
รีฟ	11-2-9|,	ร|,
กรีฟส์	11-0-8|,11-2-8|,18-0-0|11-2-9|,	กร|,กร|,ก|ร|,
รีฟส์	11-2-9|,11-0-9|,	ร|,ร|,
กรีก	11-6-8|,18-0-0|11-6-9|,11-6-8|18-0-0|,	กร|,ก|ร|,กร|ก|,
รีก	11-6-9|,11-6-9|18-0-0|,	ร|,ร|ก|,
กรย	5-1-8|,18-0-0|5-1-9|,5-1-8|18-0-7|,	กร|,ก|ร|,กร|ย|,
รย	5-1-9|,5-1-9|18-0-7|,	ร|,ร|ย|,
กรย์	7-3-0|,	ก|,
กรน	5-3-8|,18-0-0|5-3-9|,5-3-8|18-0-15|,	กร|,ก|ร|,กร|น|,
รน	5-3-9|,5-3-9|18-0-15|,	ร|,ร|น|,
กรนด์	7-3-0|,5-3-8|,18-0-0|5-3-9|,	ก|,กร|,ก|ร|,
รนด์	5-3-9|,	ร|,
กรน์	7-3-0|,	ก|,
กร็อก	3-6-8|,18-0-0|3-6-9|,3-6-8|18-0-0|,	กร|,ก|ร|,กร|ก|,
ร็อก	3-6-9|,3-6-9|18-0-0|,	ร|,ร|ก|,
กรก	5-6-8|,18-0-0|5-6-9|,5-6-8|18-0-0|,	กร|,ก|ร|,กร|ก|,
รก	5-6-9|,5-6-9|18-0-0|,	ร|,ร|ก|,
กรธ	5-8-8|,18-0-0|5-8-9|,5-8-8|18-0-16|,	กร|,ก|ร|,กร|ธ|,
รธ	5-8-9|,5-8-9|18-0-16|,	ร|,ร|ธ|,
กรวย	10-1-8|,18-0-0|10-1-9|,10-1-8|18-0-7|,	กร|,ก|ร|,กร|ย|,
รวย	10-1-9|,18-0-9|5-1-20|,10-1-9|18-0-7|,	ร|,ร|ว|,ร|ย|,
กรวม	10-7-8|,18-0-0|10-7-9|,10-7-8|18-0-21|,	กร|,ก|ร|,กร|ม|,
รวม	10-7-9|,18-0-9|5-7-20|,10-7-9|18-0-21|,	ร|,ร|ว|,ร|ม|,
กรวร	10-3-8|,18-0-0|10-3-9|,	กร|,ก|ร|,
รวร	10-3-9|,	ร|,
กรวด	10-8-8|,18-0-0|10-8-9|,	กร|,ก|ร|,
รวด	10-8-9|,18-0-9|5-8-20|,	ร|,ร|ว|,
กรว์	7-3-0|,	ก|,
กรู	4-0-8|,	กร|,
กรูด	4-8-8|,	กร|,
กรูป	4-2-8|,4-2-8|18-0-12|,	กร|,กร|ป|,
กรูม	4-7-8|,4-7-8|18-0-21|,	กร|,กร|ม|,
กรูว์	4-0-8|,	กร|,
กรพ	5-2-8|,18-0-0|5-2-9|,5-2-8|18-0-6|,	กร|,ก|ร|,กร|พ|,
รพ	5-2-9|,5-2-9|18-0-6|,	ร|,ร|พ|,
พ	18-0-6|,7-0-6|,	พ|,พ|,
กรพจน์	5-2-8|,	กร|,
กรศ	5-8-8|,18-0-0|5-8-9|,5-8-8|18-0-19|,	กร|,ก|ร|,กร|ศ|,
รศ	5-8-9|,5-8-9|18-0-19|,	ร|,ร|ศ|,
ศ	18-0-19|,7-0-19|,	ศ|,ศ|,
กรภ	5-2-8|,18-0-0|5-2-9|,5-2-8|18-0-6|,	กร|,ก|ร|,กร|ภ|,
รภ	5-2-9|,5-2-9|18-0-6|,	ร|,ร|ภ|,
กรภพน์	5-2-8|,	กร|,
กรส	5-8-8|,18-0-0|5-8-9|,5-8-8|18-0-19|,	กร|,ก|ร|,กร|ส|,
